title,cat,des
"
                Candlenut
            ",0,"<p>To be the world's only Michelin-starred Peranakan chef is no easy feat, but through hard work, a passion for his heritage and unyielding dedication, chef Malcolm Lee managed to earn this badge of honour all before turning 35. Opt for Lee’s ‘ahmakase’ menu ($65/lunch, $88/dinner) if you're new the cuisine and unsure of where to start. But the brave should not miss buah keluak ($22) of braised local chicken – it's an acquired taste but you haven't really had Peranakan food if you don't give it a try.</p>"
"
                Burnt Ends
            ",0,"<p>A mainstay on the Asia's 50 Best Restaurant's list, Burnt Ends is well worth the hype and the month-long (or sometimes longer) waiting list. There’s just something incredibly honest about a solid slab of meat coaxed over open flames. The steak topped with bone marrow and burnt onion is something you'll find on every table, but to leave without chowing down on Burnt End's legendary sanger burger would be a travesty.</p>"
"
                Odette
            ",0,"<p>No list of the best restaurants in Singapore would be complete without our only World's 50 Best entry, Odette. The two-Michelin-star holder is really pushing Singapore's culinary landscape forwards with its Essential Cuisine philosophy.  Described as honest food with a steep respect for ingredients cultivated from his farming family in France, chef Julien Royer’s cuisine prides itself on keeping up with the provenance of its produce, which results in magnificent plates that will blow any diner away.</p>"
"
                Birds of a Feather
            ",0,"<p>Western dishes get a Sichuan twist at Birds of a Feather. Inspired by the laid-back teahouses of Chengdu, the restaurant tastefully makes use of lush greenery and eclectic design pieces to create a space you won't mind unwinding at from morning 'til late. Try the roasted chicken and avocado salad with Sichuan pepper, oriental bolognaise and hot and sour chazuke, a light and mildly spicy broth that's poured over a bed of Niigata rice and charcoal-grilled barramundi. </p>"
"
                Violet Oon Singapore
            ",0,"<p>Whether you’re a tourist on the hunt for local cuisine or a Singaporean craving for Peranakan comfort food when you touch down, Violet Oon Singapore is sure to hit the spot. Gather around the communal tables at the brands biggest outlet to date and make your own Nyonya Poh Piah ($58). Each platter comes with 12 different toppings including steamed prawns, Chinese sausage and braised bamboo shoots and jimaca, or as it's known here in Singapore, bung kuang. There are six skins you can gussy a roll up to your liking – figuring out how much you can stuff in there without breaking the skin is half the fun. Eating it like a burrito is the other half. Other Jewel exclusives include the Roti Violet Tuna Wala-Wala ($15) – think of it as a roti prata soft taco topped with flaky tuna tossed in spices – and the otak toast ($16), thick, spicy mackerel fish cake served on toast. Violet's signatures like the beef rendang ($23), dry laksa ($24) and ngoh hiang ($14) are also on the menu.</p>"
"
                The Coconut Club
            ",0,"<p>When a restaurant still draws in daily queues despite charging $12.80 for a dish people typically pay $2 for, you know it's doing something right. The nasi lemak at The Coconut Club is a faultless example of the classic Malay dish. You get a fried egg, ikan bilis, peanuts, slices of Japanese cucumber, two juicy pieces of fried chicken, sambal and unlimited servings of rice flavoured with coconut milk from a single plantation in Sabak Bernam, Malaysia.</p>"
"
                Restaurant Labyrinth
            ",0,"<p>Labyrinth, like the city it represents, is defined by growth and change. Chef-owner Han Li Guang's ""new expression of Singapore cuisine"" sees him moving away from reinterpretations of classic local dishes like chilli crab and mee pok. Instead, this truly local restaurant has turned locavore: 80% of its menu is made from ingredients sourced from the city's farms presented in a 16-course dinner that echoes Singapore's past, present and future.</p>"
"
                Lolla
            ",0,"<p>This under-the-radar restaurant on buzzy Ann Siang Road whips up seasonal Mediterranean dishes in its open kitchen. Grab a seat by the bar and order its signature sea urchin pudding – trust us, it’s that good, you'll be licking the plate clean. Order à la carte or opt for the hassle-free five course ($85) or seven-course ($110) tasting menu. The hand-torn pasta dish with black trumpet mushrooms and duck leg confit ragout is absolutely divine.</p>"
"
                Braci
            ",0,"<p>This tiny shophouse along Boat Quay might only be able to squeeze 20 people into its space, but this exclusive casual-luxe restaurant and rooftop bar doesn't pull any punches. Tasting menus at this one-Michelin-starred joint start at a resonable $100 and features classics like foie gras semifreddo with kumquats and fig vincotto and grass fed beef tenderloin with chanterelles and truffles.</p>"
"
                Esquina
            ",0,"<p>With experience in Michelin-decorated kitchens like El Celler de Can Roca and Zuberoa in Spain, chef Carlos Montobbio has brought Esquina to new heights since he took the reins. The tapas-style menu is made for sharing. Start your meal with smoked mackerel delicately placed on a thin corn tuile before moving on to stunning plates of grilled Spanish octopus dressed with corn sauce, chimichurri, chorizo oil and uni and lobster paella with saffron allioli and sugar snap peas.</p>"
"
                Folklore
            ",0,<p>Thank goodness of restaurants like Folklore that are keeping Singapore heritage food alive. Chef Damian D'Silva is a veteran chef that's fiercely protecting the Eurasian and Peranakan dishes he grew up. These dishes are painstakingly made from scratch the old-fashioned way. Think sambal buah keluak – a fermented black seed that takes up to a week to prepare – fried rice served with a sunny side up egg and impossibly beef cheek rendang simmered for hours.</p>
"
                Les Amis
            ",0,"<p>Before Singapore became a hotspot for celebrity chef openings, there was Les Amis. The locally and internationally lauded French fine dining establishment has seen the likes of Justin Quek, Ignatius ‘Iggy’ Chan and Janice Wong pass through its kitchen and is now helmed by chef Sebastien Lepinoy. The French chef sources almost everything from his country of origin. His pride and joy: handcrafted Le Ponclet butter, which is so rare, it's only served in less than 20 restaurants in the world.</p>"
"
                Cut by Wolfgang Puck
            ",0,"<p>You go to Cut for one reason: the steaks. Grilled over hard wood and charcoal, the hunks of beef come from a menagerie of sources. You've got USDA Prime from Illinois, Angus and wagyu from Australia, Red Poll from Suffolk, wagyu from Idaho, and even more wagyu from different prefectures in Japan. Each type is further broken down into different cuts, ranging from rib-eyes to New York strips to bone-in filet mignons. </p>"
"
                Tono Cevicheria
            ",0,"<p>Slang for ‘party’ in Peru, Tono is characterised by lively salsa music and a maracas-wielding fish mascot. As you's expect, there’s nothing dull about the food either. Everything that hits the table is fresh, punchy and delicious – from its signature ceviche to the more traditional Peruvian dishes with names we can barely pronounce like the escabeche causas, a Peruvian take on a chicken potato salad. Don't skip out on a plate of alfajores for dessert, either.</p>"
"
                Waku Ghin
            ",0,"<p>Here's where to have dinner once you strike it big at the casino. Conceptualised by acclaimed chef Tetsuya Wakuda, Waku Ghin features ten-course degustation menus priced from an eye-watering $450. You'll be treated to ingredients sourced from the region and beyond – marinated botan shrimp with sea urchin and caviar, braised Canadian lobster with terragon and seared ohmi wagyu paired wasabi and citrus soya.</p><p> </p>"
"
                Thevar
            ",0,"<p>We're not sure why it took so long, but Singapore finally has a contemporary Indian restaurant to call its own. Inspired by his travels around South Asia, his Penang heritage and his time working in Singapore, chef Murugan Thevar has come up with creative yet satisfyingly delicious plates at Thevar. Start your meal with plump Canadian oysters topped with rasam granita ($28/5 pieces) and spiced potato chips ($10). The star of the show is the pork ribs glazed with medjool dates ($35) best served with a plate of berry pulao ($12). Decadent and sweet with a touch of smoke, you might think the combination too rich and cloying – it isn't.</p>"
"
                Rhubarb Le Restaurant
            ",0,"<p>Rhubard Le Restaurant proves that bigger doesn't necessarily mean better. With just seven tables, this charming shophouse space along Duxton Hill guarantees an intimate and personalised experience. The contemporary French restaurant offers a three-course lunch at $48 but splash out on its $148 dinner menu that features classics like ballotine and quail redefined.</p>"
"
                Maggie Joan's
            ",0,"<p>Think of Maggie Joan's as a hipper-than-thou secret dining club hiding behind a rusty door marked by an unlit signboard along Gemmill Lane. The restaurant is the sibling of Moosehead Kitchen and Bar and father-and-son team Glen and Daniel Ballis have decided to move head chef Seumas Smith over to take over Maggie Joan's open kitchen. 
The long, dark and cavernous dining room makes this restaurant a sexy spot for a date – if only because the seductive dishes match the drapes. The seasonally driven plates are refined yet hearty best exemplified by the likes of burrata paired with peas and preserved lemon ($21) and roasted carrots paired with ricotta, apricot and rosemary ($10). Mains are more than substantial, with options such as thick cuts of pan-seared barramundi ($34) cooked with sustainably farmed mussels and nage as well as spiced lamb with salmorejo ($44), black garlic and salsa verde. 
Even if we're not in the mood for a full meal, we can see ourselves popping in for a drink, some tapas and maybe even lunch just to soak in the atmosphere. The ‘appetisers’ – they’re snacks, really – make good padding for drinks: try the shiso tempura topped with taramasalata ($3) and the excellent house-baked sourdough with smoked beef fat butter ($4).</p>"
"
                Morsels
            ",0,"<p>Morsels left its home in Little India for greener pastures at Dempsey and we think it's all the better for it. Its new rustic barnyard-style digs features an open kitchen at the back, allowing you to see chef-owner Petrina Loh and her team whip up creative fusion dishes rooted in local ingredients like her signature steamed venus clams in fig broth and Firecracker Duroc Pulled Pork, a dish that’ll keep you coming back for more.</p>"
"
                JB Ah Meng
            ",0,"<p>JB Ah Meng is another Bib Gourmand awardee, and it has the support of top local and international chefs besides. Regulars include chef Justin Quek (JustIN Flavours of Asia), chef Andrew Walsh (CURE) and chef Jason Tan (Corner House). Like them, the crowds keep coming back for its unbeatable zi char dishes like the san lou bee hoon ($7-$14). It appears simple enough, but the pancake-resembling seafood noodle dish is the joint’s star. Charred and crisp on the outside but soft on the inside, each strand of bee hoon is coated with a smoky wok hei. JB Ah Meng also does a killer rendition of white pepper crab (from $24) – the dish is only mildly spicy and lets the natural sweetness of the crustacean shine. </p>"
"
                Preludio
            ",0,"<p>""We've already been served this,"" we shoot the waiter an incredulous look as he places the same dish before us. Biting into it, you realise that first two dishes of Preludio's eight-course menu – albeit plated the same way – are nothing alike. The first, Elude, is sweet with white beetroot, burrata and walnut crumble while Allude, the second course, is sour lemon-dressed bone marrow and fermented mushrooms. It's touches like this that surprise and delight, which make Preludio restaurant one of the most interesting openings of 2018.</p>"
"
                Shinji by Kanesaka
            ",0,"<p><span>There's a sense of hushed reverence that befalls anyone stepping into Shinji by Kanesake – you're about to worship at the altar of one of Singapore's best sushi bars, after all. </span>Even if you're intimidated at first, give it a few minutes and you'll start to feel at home when the friendly <em>itamae</em> enquires about your preferences. Lunch starts from $75 for nine pieces and includes stellar slices of chutoro, otoro and anago over lightly vinegared rice with a firm bite. And dinner begins at $220 for 15 nigiri pieces, a maki roll and soup.</p><p class=""font_8""> </p>"
"
                Amò
            ",0,"<p>Sophisticated yet casual, Amò makes the best pies in town. The sourdough pizzas are tossed through the air before it’s baked in a wood-fired oven that’s made in Italy, of course. The result is a light and chewy base with a crisp and slightly charred exterior. But if you’re looking for variety, you’re not going to find it here. There are only eight pizzas on the menu including a creamy stracciatella buffalo cheese, prosciutto, rocket, and fig vincotto that's our fave.</p>"
"
                Ola Cocina Del Mar
            ",0,"<p>This laid-back Spanish eatery focuses on serving the freshest seasonal produce. An open kitchen concept, Ola’s philosophy is to source ingredients in a sustainable way while bringing simple and tasty dishes to life. Seafood takes centre-stage, sustainably sourced and very often, put through a baptism of fire in the Josper oven. Try the pulpo, meaty and perfectly tender octopus kissed with smoky aroma. Instead of the usual potatoes, the Galician tentacle rests (chopped) on a bed of silky hummus.</p>"
"
                Kappo Shunsui
            ",0,"<p>Kappo Shunsui is of the few restaurants in Singapore that serves Kappo-style cuisine – an intricate balance of five primary food preparation techniques: grilling, steaming, frying, simmering and serving food raw. Expect seasonally-driven menus priced at either $150 or $250 (there's also a sake flight of six different rice wines priced at $69) that features dishes such as owan, a clear kombu and dried bonito broth served with a homemade fishcake that's stuffed two types of clams and five types of fish meat.</p>"
"
                Summer Pavilion
            ",0,"<p><span>After all these years, Summer Pavilion is still one of the best Chinese eateries in town. </span>Chef Cheung Siu Kong has been honing his craft in the same kitchen since 2003 and earning the restaurant its first Michelin star in 2016. Cheung’s signature dishes include barbecued Iberico pork with honey sauce and marinated South African abalone with roasted sesame dressing.</p>"
"
                Jumbo Seafood
            ",0,"<p>Regardless of what some Malaysian minister might say, chilli crab will always be the ultimate Singaporean dish in our hearts. Jumbo’s been serving chilli crabs at its birthplace, East Coast Park, since 1987 and has long been a favourite of many. The reason for its popularity has to be its choice of crabs – they’re all extremely meaty, with extra-large pincers. Its sauce is pretty unique, too, deploying ground peanuts for an added crunch.</p>"
"
                Luke's Oyster Bar & Chop House
            ",0,"<p>This Travis Masiero-owned joint is your traditional American chophouse: it specialises in lots of meat and some stellar seafood. If you’re in the mood for the former, try the bone-in tenderloin au poivre, served with peppercorn crust and mustard cognac jus or the blue label burger. But make sure you start with a tray of Luke’s oysters, sourced from chef Masiero’s hometown of Boston.</p>"
"
                The Song of India
            ",0,"<p>Chef Manjunath Mural has created a show-stopping pan-Indian meal in a charming Scotts Road black-and-white bungalow. On the menu, which criss-crosses the sub-continent’s regional cuisines, you’ll find melt-in-the-mouth Keralan-spiced lamb shanks, tandoori prawns bathed in a pomegranate marinade, and the Lucknavi classic of Gilawat kebabs: pan-seared ground lamb patties perfumed by cardamom, ground rose petals and raw papaya.</p>"
"
                Yellow Pot
            ",0,"<p>Chinese restaurants are a dime a dozen in Singapore but we've yet to come across one like Yellow Pot. Treading a fine line between modernity and tradition, the restaurant dishes out familiar favourites like hot and sour soup ($12) and roast duck ($32) with a twist – and no, we don't mean incorporating European techniques or ingredients. Yellow Pot prides itself in creating its sauces from scratch in-house. The soup is prepared with a housemade hot bean paste made from fermented bean paste and chillis while the duck is marinated for two days with fermented bean curd, herbs and spices before it's roasted in a traditional Apollo oven till its skin is shatteringly crisp.  </p>"
"
                Po Restaurant
            ",0,<p>Paying $28 for popiah or $32 for Hokkien mee – albeit a stellar plate with the most kickass sambal we've ever had – might seem ridiculous. Especially when you can find the real deal at a fraction of the cost at a hawker centre. But hear us out: Po serves local classics like ngoh<span> </span>hiang<span> and satay made with premium ingredients such as Iberico pork to elevate the cuisine beyond its humble origins.</span></p>
"
                Alati
            ",0,"<p>Alati is a Greek restaurant along Amoy Street that specialises in sustainable seafood caught off the Mediterranean coast. The flavours are kept clean, showcasing the freshness of dishes like the grilled Greek octopus that's served with vinegared onions and confit tomatoes, and shrimp saganaki. Not to be missed is the wide selection of whole fish – from European seabass to Gilt-Head seabream – that's served either grilled on in a salt-baked crust.</p>"
"
                Sawadee Thai
            ",0,"<p>Save yourself from the two-hour flight to Bangkok when cravings strike – they're just as easily satisfied at Sawadee Thai. It gets a shipment of fresh Thai produce daily and offers an array of dishes in a relaxed setting. You’ll definitely find the standard tom yum soup and mango sticky rice on the menu, but why not try something different? Meat lovers will like the pan-seared black Angus beef rib-eye that's served with a homemade green curry sauce and the mao shan wang durian sticky rice dessert is a must.</p>"
"
                Man Man Japanese Unagi Restaurant
            ",0,"<p>The scent of burning charcoal and chefs</p><p><span>killing, gutting and grilling freshwater eels behind the glass panel should clue you in on the fact that this is no regular unagi shop</span>. Order the hitsumabushi ($26.80), an unagi don that can enjoyed in three different ways. First, try it plain; second, sprinkle over some spring onions, seaweed and freshly grated wasabi; and third, pour dashi over the rice and eel to have it as a comforting bowl of porridge.</p>"
"
                Terra Tokyo Italian
            ",0,"<p>For a taste of Tokyo-Italian cuisine in Singapore, turn to Terra by chef-owner Seita Nakahara. Not to be confused with fusion food – what's on the menu here is an appreciation of Japanese food culture (shokubunka) in Italian cuisine and culinary traditions. Chef Seita regularly travels to Japan to source for new ingredients, establishing close relationships with his suppliers to get the best quality of ingredients which he uses in omakase sets ($168/$208/$308) that change seasonally. Lunch is also available from $48.</p>"
"
                Restaurant Ibid
            ",0,"<p>It’s been three years since Woo Wai Leong won the first MasterChef Asia and he's finally opened his own restaurant. Restaurant Ibid’s story first starts with its name. It’s meant to highlight Leong’s roots as a Singaporean Chinese man and his Nanyang identity – a phrase borrowed from the realm of art where Singaporean painters like Liu Kang and Georgette Chen blended Western and Eastern painting traditions. Priced at $78 for four courses, $88 for six and $118 for eight, the dinner highlights playful twists on childhood favourites with touches influenced by traditional Chinese medicine.</p>"
"
                Fat Prince
            ",0,"<p>Let Fat Prince show you a whole new world of Middle Eastern flavours, shining, shimmering and splendid. Designed to reflect Istanbul’s opulent café culture – think velvet navy chairs and Arabic mosaic embedded in its walls – it’s grand without being gaudy. The restaurant focuses on kebabs. There are currently six types on the menu, including baharat honey chicken, smoked kasar cheese and spicy beef Adana.</p>"
"
                Salted and Hung
            ",0,"<p>Curing, smoking and fermenting are front and centre of this Drew Nocente-led kitchen. That much is clear as soon as you step into the long shophouse space, see the little piggies on the walls and pass a dry cabinet in which all manner of salami and steaks hang, their hues ranging from deep mahogany to pale pink. There’s even kangaroo loin, a nod to Nocente’s Aussie roots, lurking in there.</p>"
"
                Humpback
            ",0,"<p>It might not live by the sea, but this beach shack along Bukit Pasoh Road is all about the goodness of the ocean. Slurp down fresh oysters – there are always at least three types available and if you come from 5pm to 8pm they're only $3 a pop – or tuck into plates of prawns, salmon, clams, scallops, octopus, lobster... the list goes on. There are plenty of greens to go around too.</p>"
"
                Skai
            ",0,"<p>Perched on the 70th floor of the Swissotel the Stamford, Skai overlooks the civic district down from the Padang to Marina Bay. Start your meal with a series of sharing plates. The heirloom tomatoes ($22) and yellowfin tuna tartare ($24) are safe favourites. Executive chef Paul Hallett is also an expert butcher and self-professed lover of steak, so it’s no surprise to see 10 types of rare beef like the Saga Wagyu tenderloin ($170) on offer.</p>"
